"PM2.5","PM10","SO2","NO2","O3"
218,218,33,121,31
251,251,51,123,34
233,233,44,120,33
200,200,35,116,30
220,220,34,124,36
204,204,33,109,33
168,168,37,105,29
121,121,28,93,24
117,117,23,93,25
119,119,22,92,25
99,99,27,85,24
112,112,29,87,27
118,118,32,88,34
137,137,36,95,39
163,163,40,107,38
178,184,39,121,35
196,196,40,133,31
201,201,37,138,26
213,229,35,143,27
264,279,36,152,30
299,308,38,157,32
302,305,43,156,31
324,324,39,157,32
341,341,38,162,32
413,413,51,168,41
433,433,46,168,40
393,393,38,155,36
318,318,38,125,31
249,249,31,108,26
217,217,25,95,22
196,196,26,89,21
189,189,25,91,22
186,186,27,92,22
233,233,42,117,29
286,287,64,144,31
235,235,61,137,27
233,233,54,137,28
224,224,49,126,31
222,222,47,138,33
214,214,43,130,34
197,197,42,124,34
228,228,44,137,28
278,278,43,151,25
358,358,55,174,30
426,426,50,182,32
479,479,42,186,31
485,485,40,189,29
497,497,39,192,31
558,558,40,193,36
509,509,35,168,28
541,541,31,166,34
464,464,29,129,30
281,281,24,97,18
228,228,22,80,16
213,213,12,74,15
168,168,10,61,16
169,169,10,53,19
160,160,13,51,24
138,138,25,46,32
127,127,30,42,43
121,121,41,42,53
108,108,36,46,57
95,95,32,48,60
113,113,29,60,52
113,113,27,69,43
147,147,21,83,29
198,198,15,93,16
213,213,15,92,16
208,208,13,92,16
204,204,13,95,16
210,210,13,98,17
216,216,12,101,17
222,222,10,104,18
218,218,8,100,17
221,221,10,107,17
177,177,20,93,19
31,31,9,31,52
13,13,3,20,67
6,6,2,18,71
7,7,2,24,65
7,8,2,31,58
7,8,2,25,66
11,11,2,22,64
9,13,2,22,65
13,13,2,18,70
16,16,2,18,71
17,17,2,21,69
18,18,2,24,67
17,17,2,22,70
13,13,2,31,60
15,15,2,33,58
14,14,4,39,51
12,12,2,32,57
15,15,2,29,60
12,12,4,34,53
11,11,4,32,55
11,11,2,33,51
11,11,2,28,54
11,11,4,22,56
8,8,3,21,55
10,10,4,20,53
9,9,5,28,49
8,8,5,27,50
7,7,4,36,41
10,10,5,40,38
8,9,8,40,40
14,14,9,35,47
11,11,8,28,54
10,10,6,27,58
13,13,6,35,54
18,18,6,35,56
22,22,9,43,52
38,48,17,61,39
45,60,19,73,27
57,78,18,79,21
71,89,22,82,20
82,91,24,80,21
87,92,29,85,18
93,97,27,85,18
88,89,25,87,18
73,73,21,83,17
85,86,36,91,20
61,61,22,78,18
28,28,9,53,25
27,27,8,55,24
26,26,7,66,17
26,26,6,67,16
19,19,6,69,16
21,22,13,71,16
27,33,16,68,20
31,36,21,56,29
27,27,16,35,47
17,23,10,23,59
11,29,6,18,67
13,25,6,20,67
11,24,4,21,67
6,24,4,25,64
13,23,4,30,58
12,23,3,34,53
10,22,4,40,47
8,13,4,32,52
11,31,4,29,54
12,21,4,26,56
6,15,3,25,55
11,18,4,29,50
6,18,7,29,47
10,21,6,26,50
6,14,6,24,52
11,11,6,24,43
9,9,6,22,44
8,8,7,25,43
11,11,7,31,39
9,9,7,40,31
6,14,7,36,35
9,13,8,24,47
12,22,8,20,52
11,21,5,16,58
8,13,5,16,59
11,11,5,18,59
11,12,6,19,60
12,12,5,24,56
9,9,4,26,55
10,10,6,43,37
12,12,8,52,27
12,14,9,48,30
15,17,11,52,25
15,15,10,48,29
13,13,10,44,32
17,17,11,45,31
15,15,11,42,32
14,15,10,32,41
9,12,9,29,43
8,8,7,23,46
9,11,6,23,46
7,9,7,23,46
8,12,9,31,39
13,17,11,49,23
19,24,11,49,25
18,26,11,40,35
23,23,9,34,42
22,22,8,28,49
20,21,8,24,56
20,20,7,24,57
11,13,6,23,59
15,15,6,28,55
19,21,7,40,43
11,15,8,55,28
49,75,26,92,9
94,99,33,100,11
116,123,33,109,8
133,136,38,108,9
133,133,34,102,9
137,137,32,98,9
134,134,32,94,9
112,112,36,88,8
104,104,34,92,8
93,93,30,101,13
79,79,25,84,12
75,75,16,78,11
49,49,12,70,9
25,25,9,70,8
27,27,9,66,12
20,21,8,54,24
26,31,12,51,31
32,32,16,52,33
40,42,18,56,33
43,43,20,58,34
38,38,16,57,39
36,38,15,69,32
50,55,20,86,19
62,78,22,102,9
86,100,26,110,10
101,111,28,108,11
149,159,38,118,12
172,179,40,126,13
184,189,47,127,13
143,149,48,119,16
95,95,29,94,12
72,72,24,81,11
54,54,17,73,9
48,48,15,70,8
35,35,11,68,8
21,21,12,63,10
28,28,15,73,7
21,22,17,77,8
26,33,21,78,11
26,35,20,60,24
31,38,19,51,37
41,46,33,54,36
62,78,42,63,34
62,63,35,61,35
55,61,31,61,35
68,82,38,69,31
64,74,36,74,22
57,73,38,79,15
59,75,44,83,11
69,87,47,87,9
67,86,38,84,9
32,32,13,54,31
16,16,5,30,49
