"TEMP","PRES","DEWP","RAIN","WSPM","CO"
-2.5,1024.5,-8.2,0,1.1,4200
-3.5,1023.8,-7.3,0,1,5000
-4.7,1023.7,-7.3,0,0.8,4600
-3.6,1023.1,-7.7,0,1.5,3500
-5.1,1022.3,-7.7,0,1,4900
-5.7,1021.7,-8.3,0,1.2,5100
-6.3,1021.1,-8.4,0,0.7,4600
-6.8,1021.1,-8.6,0,0.7,3100
-6.8,1021.2,-8.8,0,0.9,3300
-3.6,1021.5,-8.3,0,1.2,3100
-2.1,1021.1,-8,0,1.4,2100
-0.2,1020.6,-7.9,0,1.2,2200
1.3,1019.2,-7.7,0,0.8,2000
2.8,1017.7,-7.7,0,1,2200
4.3,1016.7,-7.2,0,0.5,2400
4.2,1016.7,-7,0,1.1,2600
3.9,1016.4,-7,0,1,2700
1.2,1017,-6.9,0,1.1,2900
-1.2,1017.2,-6.7,0,1.2,3500
-1.2,1017.2,-6.2,0,1.2,4300
-2.4,1017.5,-6.1,0,0.7,5400
-2.5,1017.6,-5.5,0,0.9,5600
-3.1,1017.3,-5.6,0,0.1,6400
-3.2,1017.4,-5.2,0,1.4,6300
-4.4,1017.5,-5.9,0,0.7,7900
-3.6,1016.8,-5.5,0,1.1,8100
-4.2,1017,-5.6,0,0.5,7000
-3.7,1016.7,-5.9,0,0.6,5000
-4.4,1016,-6.1,0,0.4,3700
-4.7,1015.7,-6.8,0,0.7,2800
-5.2,1015.7,-7,0,0.3,2400
-5.2,1015.8,-6.7,0,1.2,2500
-3.9,1016.1,-6.1,0,1,2700
-3,1016.5,-5.6,0,0.9,5300
0.1,1017.1,-5.7,0,0.8,6800
2.1,1016.9,-5.1,0,1,4600
3.7,1016.1,-5.8,0,1.2,4100
4.6,1015,-5.5,0,1.2,3300
6,1014.1,-5.7,0,1.5,3300
6.1,1014.2,-5.6,0,1.4,2800
5.6,1014.2,-5.4,0,1.1,2500
2.5,1014.7,-5.4,0,1.1,3000
0.1,1015.1,-4.9,0,1,3500
-0.7,1015.7,-4.4,0,0.5,4800
-1.7,1016.6,-4.4,0,0.6,5900
-2,1016.7,-4.5,0,0.6,6600
-2.8,1016.7,-4.5,0,0.7,5900
-3,1017.2,-4,0,1.3,6500
-3.2,1017,-4,0,0.5,7800
-3.3,1016.8,-4,0,1.2,6800
-3.2,1016.8,-3.6,0,1,7600
