"PM2.5","PM10","SO2","NO2","O3"
36,50,24,92,4
274,274,107,134,20
153,155,58,118,11
54,54,17,73,9
95,95,29,94,12
137,137,32,98,9
12,16,9,47,33
117,117,23,93,25
8,14,4,22,62
133,136,38,108,9
99,99,27,85,24
112,112,29,87,27
13,30,10,29,57
137,137,36,95,39
178,184,39,121,35
163,163,40,107,38
233,233,54,137,28
201,201,37,138,26
213,229,35,143,27
264,279,36,152,30
302,305,43,156,31
113,117,54,67,26
497,497,39,192,31
281,281,24,97,18
413,413,51,168,41
433,433,46,168,40
393,393,38,155,36
318,318,38,125,31
186,186,27,92,22
196,196,26,89,21
217,217,25,95,22
189,189,25,91,22
249,249,31,108,26
233,233,42,117,29
286,287,64,144,31
235,235,61,137,27
196,196,40,133,31
224,224,49,126,31
222,222,47,138,33
197,197,42,124,34
214,214,43,130,34
228,228,44,137,28
278,278,43,151,25
225,264,52,111,11
479,479,42,186,31
426,426,50,182,32
126,126,27,76,7
464,464,29,129,30
509,509,35,168,28
341,341,38,162,32
112,112,59,80,8
558,558,40,193,36
96,101,71,79,9
116,119,49,71,23
84,98,64,79,11
132,137,45,80,12
85,103,64,79,10
160,160,13,51,24
213,213,15,92,16
127,127,30,42,43
121,121,41,42,53
10,52,11,26,62
113,113,27,69,43
113,113,29,60,52
108,108,36,46,57
28,46,14,69,21
198,198,15,93,16
138,138,25,46,32
208,208,13,92,16
24,36,13,40,45
210,210,13,98,17
20,21,8,54,24
143,149,48,119,16
49,75,26,92,9
9,11,6,23,46
26,41,15,75,12
19,44,11,17,62
54,65,32,82,18
13,13,3,20,67
116,137,34,67,42
7,18,4,16,66
7,8,2,25,66
8,13,4,32,52
9,13,2,22,65
14,14,4,39,51
16,16,2,18,71
12,12,5,24,56
17,17,2,21,69
13,13,2,31,60
17,17,2,22,70
15,15,2,33,58
13,13,2,18,70
14,32,11,24,55
7,8,2,31,58
15,36,15,36,45
11,11,4,32,55
129,138,58,125,12
11,11,2,28,54
135,135,30,71,20
13,26,11,32,46
82,111,34,72,28
7,7,4,36,41
8,8,5,27,50
9,9,5,28,49
10,10,5,40,38
8,9,8,40,40
27,33,16,68,20
11,11,8,28,54
58,58,27,65,45
16,57,10,16,62
177,177,20,93,19
22,22,9,43,52
38,48,17,61,39
31,31,9,31,52
57,78,18,79,21
10,10,3,23,61
12,14,9,48,30
13,13,5,45,40
93,97,27,85,18
85,86,36,91,20
88,89,25,87,18
19,24,11,49,25
28,28,9,53,25
61,61,22,78,18
21,22,17,77,8
26,26,7,66,17
26,26,6,67,16
19,19,6,69,16
