,BirthYear,size a,size b, diff 
1,1850,5426,0,5426
2,1886,0,1,-1
3,1887,0,1,-1
4,1890,2,0,2
5,1892,1,0,1
6,1900,206,0,206
7,1901,79,0,79
8,1902,128,0,128
9,1903,145,0,145
10,1904,191,0,191
11,1905,215,0,215
12,1906,275,0,275
13,1907,312,0,312
14,1908,376,0,376
15,1909,377,0,377
16,1910,417,0,417
17,1911,463,0,463
18,1912,516,0,516
19,1913,519,0,519
20,1914,528,0,528
21,1915,526,0,526
22,1916,561,0,561
23,1917,642,0,642
24,1918,686,0,686
25,1919,699,0,699
26,1920,836,0,836
27,1921,893,0,893
28,1922,862,0,862
29,1923,899,0,899
30,1924,1012,0,1012
31,1925,1027,0,1027
32,1926,1004,0,1004
33,1927,954,0,954
34,1928,813,0,813
35,1929,880,0,880
36,1930,950,0,950
37,1931,1027,0,1027
38,1932,1018,0,1018
39,1933,1052,0,1052
40,1934,1155,0,1155
41,1935,1151,3,1148
42,1936,1252,1,1251
43,1937,1399,7,1392
44,1938,1459,4,1455
45,1939,1574,7,1567
46,1940,1781,11,1770
47,1941,1989,12,1977
48,1942,2385,33,2352
49,1943,2567,36,2531
50,1944,2659,37,2622
51,1945,2718,58,2660
52,1946,3476,94,3382
53,1947,4053,150,3903
54,1948,4100,165,3935
55,1949,4442,255,4187
56,1950,4711,303,4408
57,1951,5394,385,5009
58,1952,5917,505,5412
59,1953,6100,610,5490
60,1954,6292,686,5606
61,1955,5929,779,5150
62,1956,5822,914,4908
63,1957,5522,925,4597
64,1958,5177,931,4246
65,1959,4903,931,3972
66,1960,4787,1067,3720
67,1961,4740,1114,3626
68,1962,4700,1108,3592
69,1963,4644,1195,3449
70,1964,4593,1254,3339
71,1965,4122,1197,2925
72,1966,3905,1191,2714
73,1967,4071,1289,2782
74,1968,4159,1287,2872
75,1969,4517,1425,3092
76,1970,4792,1617,3175
77,1971,4608,1596,3012
78,1972,4407,1513,2894
79,1973,4319,1521,2798
80,1974,4580,1710,2870
81,1975,4397,1655,2742
82,1976,4495,1752,2743
83,1977,4527,1892,2635
84,1978,4580,1892,2688
85,1979,4902,2141,2761
86,1980,5084,2258,2826
87,1981,5125,2316,2809
88,1982,5350,2592,2758
89,1983,5206,2666,2540
90,1984,5310,2823,2487
91,1985,5537,3115,2422
92,1986,5354,3159,2195
93,1987,5266,3248,2018
94,1988,5263,3316,1947
95,1989,5179,3292,1887
96,1990,5085,3315,1770
97,1991,4652,3027,1625
98,1992,4343,2850,1493
99,1993,3873,2447,1426
100,1994,3375,2130,1245
101,1995,2925,1822,1103
102,1996,2235,1197,1038
103,1997,1642,718,924
104,1998,1071,343,728
105,1999,564,90,474
106,2000,102,9,93
107,2001,13,0,13
108,2002,1,0,1
